what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678744586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678748770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678811768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1642678811799
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1642678813627
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678835433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678841453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678845202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678882678
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1642678882693
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678884662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678907983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678909456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678983809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642678988384
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679095793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.window.preferences",1642679095824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679098839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679102479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1642679114324
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679114855
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679121018
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679121377
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679460883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1642679472421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679474171
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679477359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679486052
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679495926
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679502993
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1642679520408
